date,county,state,fips,cases,deaths
1/25/2020,Orange,California,6059,1,0
1/26/2020,Los Angeles,California,6037,1,0
1/26/2020,Orange,California,6059,1,0
1/27/2020,Los Angeles,California,6037,1,0
1/27/2020,Orange,California,6059,1,0
1/28/2020,Los Angeles,California,6037,1,0
1/28/2020,Orange,California,6059,1,0
1/29/2020,Los Angeles,California,6037,1,0
1/29/2020,Orange,California,6059,1,0
1/30/2020,Los Angeles,California,6037,1,0
1/30/2020,Orange,California,6059,1,0
1/31/2020,Los Angeles,California,6037,1,0
1/31/2020,Orange,California,6059,1,0
1/31/2020,Santa Clara,California,6085,1,0
2/1/2020,Los Angeles,California,6037,1,0
2/1/2020,Orange,California,6059,1,0
2/1/2020,Santa Clara,California,6085,1,0
2/2/2020,Los Angeles,California,6037,1,0
2/2/2020,Orange,California,6059,1,0
2/2/2020,San Francisco,California,6075,2,0
2/2/2020,Santa Clara,California,6085,2,0
2/3/2020,Los Angeles,California,6037,1,0
2/3/2020,Orange,California,6059,1,0
2/3/2020,San Francisco,California,6075,2,0
2/3/2020,Santa Clara,California,6085,2,0
2/4/2020,Los Angeles,California,6037,1,0
2/4/2020,Orange,California,6059,1,0
2/4/2020,San Francisco,California,6075,2,0
2/4/2020,Santa Clara,California,6085,2,0
2/5/2020,Los Angeles,California,6037,1,0
2/5/2020,Orange,California,6059,1,0
2/5/2020,San Francisco,California,6075,2,0
2/5/2020,Santa Clara,California,6085,2,0
2/6/2020,Los Angeles,California,6037,1,0
2/6/2020,Orange,California,6059,1,0
2/6/2020,San Francisco,California,6075,2,0
2/6/2020,Santa Clara,California,6085,2,0
2/7/2020,Los Angeles,California,6037,1,0
2/7/2020,Orange,California,6059,1,0
2/7/2020,San Francisco,California,6075,2,0
2/7/2020,Santa Clara,California,6085,2,0
2/8/2020,Los Angeles,California,6037,1,0
2/8/2020,Orange,California,6059,1,0
2/8/2020,San Francisco,California,6075,2,0
2/8/2020,Santa Clara,California,6085,2,0
2/9/2020,Los Angeles,California,6037,1,0
2/9/2020,Orange,California,6059,1,0
2/9/2020,San Francisco,California,6075,2,0
2/9/2020,Santa Clara,California,6085,2,0
2/10/2020,Los Angeles,California,6037,1,0
2/10/2020,Orange,California,6059,1,0
2/10/2020,San Diego,California,6073,1,0
2/10/2020,San Francisco,California,6075,2,0
2/10/2020,Santa Clara,California,6085,2,0
2/11/2020,Los Angeles,California,6037,1,0
2/11/2020,Orange,California,6059,1,0
2/11/2020,San Diego,California,6073,1,0
2/11/2020,San Francisco,California,6075,2,0
2/11/2020,Santa Clara,California,6085,2,0
2/12/2020,Los Angeles,California,6037,1,0
2/12/2020,Orange,California,6059,1,0
2/12/2020,San Diego,California,6073,1,0
2/12/2020,San Francisco,California,6075,2,0
2/12/2020,Santa Clara,California,6085,2,0
2/13/2020,Los Angeles,California,6037,1,0
2/13/2020,Orange,California,6059,1,0
2/13/2020,San Diego,California,6073,1,0
2/13/2020,San Francisco,California,6075,2,0
2/13/2020,Santa Clara,California,6085,2,0
2/14/2020,Los Angeles,California,6037,1,0
2/14/2020,Orange,California,6059,1,0
2/14/2020,San Diego,California,6073,1,0
2/14/2020,San Francisco,California,6075,2,0
2/14/2020,Santa Clara,California,6085,2,0
2/15/2020,Los Angeles,California,6037,1,0
2/15/2020,Orange,California,6059,1,0
2/15/2020,San Diego,California,6073,1,0
2/15/2020,San Francisco,California,6075,2,0
2/15/2020,Santa Clara,California,6085,2,0
2/16/2020,Los Angeles,California,6037,1,0
2/16/2020,Orange,California,6059,1,0
2/16/2020,San Diego,California,6073,1,0
2/16/2020,San Francisco,California,6075,2,0
2/16/2020,Santa Clara,California,6085,2,0
2/17/2020,Los Angeles,California,6037,1,0
2/17/2020,Orange,California,6059,1,0
2/17/2020,San Diego,California,6073,1,0
2/17/2020,San Francisco,California,6075,2,0
2/17/2020,Santa Clara,California,6085,2,0
2/18/2020,Los Angeles,California,6037,1,0
2/18/2020,Orange,California,6059,1,0
2/18/2020,San Diego,California,6073,1,0
2/18/2020,San Francisco,California,6075,2,0
2/18/2020,Santa Clara,California,6085,2,0
2/19/2020,Los Angeles,California,6037,1,0
2/19/2020,Orange,California,6059,1,0
2/19/2020,San Diego,California,6073,1,0
2/19/2020,San Francisco,California,6075,2,0
2/19/2020,Santa Clara,California,6085,2,0
2/20/2020,Humboldt,California,6023,1,0
2/20/2020,Los Angeles,California,6037,1,0
2/20/2020,Orange,California,6059,1,0
2/20/2020,San Diego,California,6073,1,0
2/20/2020,San Francisco,California,6075,2,0
2/20/2020,Santa Clara,California,6085,2,0
2/21/2020,Humboldt,California,6023,1,0
2/21/2020,Los Angeles,California,6037,1,0
2/21/2020,Orange,California,6059,1,0
2/21/2020,Sacramento,California,6067,1,0
2/21/2020,San Diego,California,6073,1,0
2/21/2020,San Francisco,California,6075,2,0
2/21/2020,Santa Clara,California,6085,2,0
2/22/2020,Humboldt,California,6023,1,0
2/22/2020,Los Angeles,California,6037,1,0
2/22/2020,Orange,California,6059,1,0
2/22/2020,Sacramento,California,6067,1,0
2/22/2020,San Diego,California,6073,1,0
2/22/2020,San Francisco,California,6075,2,0
